data,hora,taxa
2025/11/12,10:44:03,14.760674716435961
2025/11/12,10:44:04,14.524389865873557
2025/11/12,10:44:05,15.17410131371146
2025/11/12,10:44:06,15.3019133205394
2025/11/12,10:44:07,14.652585516920833
2025/11/12,10:44:08,15.255743857864069
2025/11/12,10:44:09,15.313883696483673
2025/11/12,10:44:10,14.838636365557152
2025/11/12,10:44:11,15.320168348438196
2025/11/12,10:44:12,15.283516990163566
2025/11/12,10:47:13,15.177848226281446
2025/11/12,10:47:14,15.330011950558731
2025/11/12,10:47:15,15.174951316860906
2025/11/12,10:47:16,15.27689194986481
2025/11/12,10:47:17,14.820352299316811
2025/11/12,10:47:18,14.615275365813265
2025/11/12,10:47:19,15.210191716222752
2025/11/12,10:47:20,14.971133834295383
2025/11/12,10:47:21,14.967291631736474
2025/11/12,10:47:22,14.763083400973988
